Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility_MeanRatio,Item_Type_Combined,Outlet
0,FDY45,255.8356,2543.356,0.026015519,17.5,OUT027,2,1,3,1.16585625667,1,5
0,FDC46,185.4266,184.4266,0.195068226,17.7,OUT010,2,2,0,1.55601439533,1,0
0,FDH19,172.5738,4865.6664,0.033082215,19.35,OUT035,1,2,1,0.922115512705,1,6
2,FDZ03,186.024,1118.544,0.078946455,13.65,OUT045,1,2,1,1.04413818745,1,7
0,DRH37,164.8526,2302.3364,0.041700756,17.6,OUT045,1,2,1,0.87650276407,0,7
1,NCI17,95.841,2027.361,0.143422643,8.645,OUT046,0,2,1,1.02777679426,2,8
2,FDJ58,170.1764,3435.528,0.105296072,15.6,OUT046,0,2,1,0.874728787512,1,8
2,FDL12,59.222,599.22,0.121531501,15.85,OUT013,2,0,1,0.874000861987,1,1
0,FDH35,164.7526,4604.6728,0.0581012104444,18.25,OUT045,1,2,1,1.0,1,7
0,FDG02,189.6188,2285.0256,0.011324862,7.855,OUT017,1,2,1,0.927506728612,1,2
1,NCZ18,254.3698,5580.7356,0.186357148,7.825,OUT049,0,1,1,1.02985710325,2,9
2,FDC29,114.0176,2290.352,0.024205661,8.39,OUT046,0,2,1,0.999069761644,1,8
0,FDQ10,172.3422,1207.0954,0.033230816,12.85,OUT049,0,1,1,0.923723833907,1,9
0,FDN48,89.9804,643.1628,0.113720344,13.35,OUT019,0,2,0,1.53153720162,1,4
0,FDL04,104.9622,1587.933,0.112556507,19.0,OUT017,1,2,1,0.92750676719,1,2
0,FDV25,222.5456,5305.0944,0.0444160403333,5.905,OUT045,1,2,1,1.0,1,7
0,FDD58,101.87,1697.79,0.059352241,7.76,OUT046,0,2,1,0.874728786653,1,8
2,FDN04,180.3344,1427.4752,0.014087057,11.8,OUT046,0,2,1,1.1416114694,1,8
0,FDV45,187.9556,4693.89,0.045230944,16.75,OUT018,2,1,2,0.926046945744,1,3
1,NCL18,194.6136,583.2408,0.293417759,18.85,OUT019,0,2,0,1.61481058938,2,4
2,FDR12,171.3764,3091.9752,0.031382044,12.6,OUT027,2,1,3,0.87049287461,1,5
2,FDG20,177.0028,2479.4392,0.12639886,15.5,OUT017,1,2,1,0.934890988521,1,2
0,FDZ55,160.992,2716.464,0.025403898,6.055,OUT035,1,2,1,0.998880840236,1,6
2,FDQ49,155.963,3285.723,0.039057677,20.2,OUT027,2,1,3,0.954121924223,1,5
2,FDN33,95.6436,661.8052,0.123115764,6.305,OUT046,0,2,1,0.999069747598,1,8
0,FDN27,117.2808,1523.3504,0.039624006,20.85,OUT049,0,1,1,1.16330749131,1,9
0,FDW20,122.173,369.519,0.040421193,20.75,OUT010,2,2,0,1.73525305129,1,0
0,DRG27,39.9138,690.4346,0.105274111,8.895,OUT049,0,1,1,1.02967089429,0,9
0,DRI25,55.1614,1381.535,0.033970195,19.6,OUT045,1,2,1,0.931517918427,0,7
0,FDA44,57.893,622.523,0.053212652,19.7,OUT035,1,2,1,0.929456824858,1,6
1,NCR17,114.5492,1274.3412,0.024378706,9.8,OUT035,1,2,1,0.998880819193,2,6
0,FDU04,120.0414,487.3656,0.009714595,7.93,OUT019,0,2,0,2.03215612351,1,4
0,FDF41,246.046,1231.73,0.131383762,12.15,OUT049,0,1,1,0.87608876326,1,9
2,FDB56,187.4556,3755.112,0.07461309,8.75,OUT035,1,2,1,1.1406381675,1,6
1,NCP18,149.9708,4363.6532,0.028459761,12.15,OUT027,2,1,3,0.917823675948,2,5
2,FDB56,187.8556,1314.2892,0.074627201,8.75,OUT046,0,2,1,1.14085388763,1,8
0,FDT28,151.0708,1805.6496,0.063695084,13.3,OUT045,1,2,1,0.924160347454,1,7
2,FDD10,178.5344,2854.9504,0.045797829,20.6,OUT027,2,1,3,1.03167495628,1,5
2,FDW57,179.1028,3896.2616,0.115857223,8.31,OUT049,0,1,1,1.14341723222,1,9
2,DRB48,38.7822,667.7974,0.024832806,16.75,OUT013,2,0,1,1.03585507015,0,1
0,FDP09,212.0902,3185.853,0.034027909,19.75,OUT018,2,1,2,0.878292065399,1,3
2,FDH14,141.1838,2247.7408,0.0467696,17.1,OUT013,2,0,1,0.874000856595,1,1
2,FDA47,163.121,1794.331,0.116576702,10.5,OUT013,2,0,1,1.02697701267,1,1
2,FDG12,121.3098,2530.7058,0.00492411533333,6.635,OUT045,1,2,1,1.0,1,7
0,DRE60,225.372,679.116,0.278974075,9.395,OUT019,0,2,0,1.61481058882,0,4
0,DRK49,41.4138,812.276,0.035913805,14.15,OUT013,2,0,1,1.03206554004,0,1
0,FDD03,232.53,699.09,0.079806266,13.3,OUT046,0,2,1,0.999069747246,1,8
0,FDS52,102.4016,2732.4432,0.005505481,8.89,OUT017,1,2,1,0.879676574459,1,2
2,FDW39,176.937,176.437,0.064625342,6.69,OUT019,0,2,0,2.25900305216,1,4
0,FDX34,121.7098,4097.3332,0.071636937,6.195,OUT027,2,1,3,0.994231707161,1,5
2,FDV11,173.2054,3151.8972,0.078393078375,9.1,OUT045,1,2,1,1.0,1,7
0,FDD17,239.0906,5942.265,0.032677678,7.5,OUT049,0,1,1,0.960051332198,1,9
2,FDZ16,192.4478,4843.695,0.160760054,16.85,OUT017,1,2,1,0.964377089074,1,2
0,FDZ46,109.0228,2542.0244,0.06911065,7.485,OUT035,1,2,1,0.998880842302,1,6
0,DRA12,140.3154,2552.6772,0.041177505,11.6,OUT017,1,2,1,1.17859492135,0,2
0,FDY58,227.0694,1141.847,0.040081193,11.65,OUT018,2,1,2,0.878292072358,1,3
1,NCF19,47.5034,680.4476,0.035307322,13.0,OUT017,1,2,1,0.879676623189,2,2
0,DRJ13,159.0578,2085.9514,0.063017847,12.65,OUT045,1,2,1,0.931517922917,0,7
2,FDB14,92.512,186.424,0.171938781,20.25,OUT010,2,2,0,1.72890487984,1,0
2,FDJ38,190.153,3036.048,0.040197932,8.6,OUT035,1,2,1,1.0268322866,1,6
0,FDW11,62.7194,866.8716,0.049058014,12.6,OUT017,1,2,1,0.934890991604,1,2
0,FDL40,95.041,868.869,0.01161096,17.7,OUT035,1,2,1,1.15244172732,1,6
0,DRI49,82.4276,1137.1864,0.183507295,14.15,OUT046,0,2,1,0.999069749238,0,8
0,FDV38,52.7956,928.1252,0.102349519,19.25,OUT017,1,2,1,0.879676614814,1,2
0,DRG23,151.7682,762.341,0.086708987,8.88,OUT013,2,0,1,1.03634134967,0,1
1,NCP30,40.2822,707.0796,0.032835147,20.5,OUT045,1,2,1,1.00109589555,2,7
0,FDY25,180.5976,7968.2944,0.033809913,12.0,OUT027,2,1,3,1.13636594956,1,5
1,NCH54,160.292,1438.128,0.07266912,13.5,OUT046,0,2,1,0.862651744964,2,8
1,NCR53,224.4404,6976.2524,0.144338493,12.15,OUT027,2,1,3,0.954309088738,2,5
0,FDS52,101.7016,101.2016,0.009163216,8.89,OUT010,2,2,0,1.46411666154,1,0
0,FDG02,188.5188,952.094,0.011307038,7.855,OUT018,2,1,2,0.926046942177,1,3
1,NCO26,116.0492,1969.4364,0.076855628,7.235,OUT046,0,2,1,0.92963260485,2,8
0,FDH35,165.4526,5262.4832,0.059956876,18.25,OUT027,2,1,3,1.03193850079,1,5
0,FDB51,60.5852,1314.2892,0.038532062,6.92,OUT045,1,2,1,1.00109588542,1,7
0,FDX44,90.8172,535.3032,0.043209581,9.3,OUT017,1,2,1,0.92750676894,1,2
1,NCN07,132.1284,263.6568,0.056816465,18.5,OUT010,2,2,0,1.46411666407,2,0
1,NCC31,154.5972,1402.1748,0.019866705,8.02,OUT035,1,2,1,0.958320689273,2,6
1,NCX54,105.1622,1693.7952,0.048331717,9.195,OUT017,1,2,1,0.934890980995,2,2
1,NCO55,105.5938,2143.876,0.091221855,12.8,OUT045,1,2,1,0.876502763672,2,7
1,NCC30,177.6344,2676.516,0.027622076,16.6,OUT049,0,1,1,0.931077932044,2,9
2,FDI16,53.064,905.488,0.1416453383,14.0,OUT035,1,2,1,1.0,1,6
0,FDP16,246.3802,7370.406,0.039355947,18.6,OUT049,0,1,1,0.931077943085,1,9
0,FDB11,226.8404,6301.1312,0.060836524,16.0,OUT035,1,2,1,0.92945682199,1,6
1,NCB06,160.692,1597.92,0.082316506,17.6,OUT035,1,2,1,0.929456818504,2,6
0,FDA45,178.237,529.311,0.155350299,21.25,OUT035,1,2,1,1.14234851118,1,6
1,NCO26,117.5492,1969.4364,0.076841095,7.235,OUT035,1,2,1,0.929456816154,2,6
0,DRJ25,50.3692,1034.6532,0.151419185,14.6,OUT017,1,2,1,0.934890987494,0,2
2,FDR28,161.521,1794.331,0.026001976,13.85,OUT018,2,1,2,0.933419533794,1,3
2,FDI04,197.6426,2768.3964,0.073209447,13.65,OUT018,2,1,2,0.87829206953,1,3
0,DRK12,31.29,898.83,0.041683481,9.5,OUT027,2,1,3,1.11851067761,0,5
0,FDX20,226.172,3169.208,0.042560252,7.365,OUT046,0,2,1,0.922289909681,1,8
1,NCI18,223.5746,3589.9936,0.014081156,18.35,OUT018,2,1,2,1.00313953157,2,3
2,FDB36,132.5626,262.3252,0.030340533875,5.465,OUT018,2,1,2,1.0,1,3
0,FDN13,99.8358,1910.1802,0.152918384,18.6,OUT017,1,2,1,0.927506761642,1,2
0,DRD24,140.9154,1701.7848,0.030969274,13.85,OUT017,1,2,1,0.879676606597,0,2
2,FDQ28,154.5656,2471.4496,0.060376776,14.0,OUT013,2,0,1,0.958154845247,1,1
2,FDM22,54.764,1331.6,0.04192285,14.0,OUT013,2,0,1,0.957780707218,1,1
0,FDR07,97.0094,1808.9786,0.077367431,21.35,OUT027,2,1,3,0.870492881188,1,5
0,FDV25,222.5456,3315.684,0.045838211,5.905,OUT018,2,1,2,1.0320193033,1,3
0,DRF49,114.2518,2618.5914,0.071077939,7.27,OUT046,0,2,1,0.922289920581,0,8
2,FDW51,214.556,2769.728,0.094659871,6.155,OUT046,0,2,1,0.929632601022,1,8
2,DRL01,233.4958,5375.0034,0.077608838,19.5,OUT017,1,2,1,0.964000518012,0,2
0,FDP25,216.8824,2838.9712,0.021327477,15.2,OUT017,1,2,1,0.879676608628,1,2
2,FDL50,125.0046,1743.0644,0.042485444,12.15,OUT018,2,1,2,1.00297918414,1,3
1,NCB30,198.8084,5555.4352,0.025578526,14.6,OUT027,2,1,3,0.858878185904,2,5
0,FDW11,61.9194,619.194,0.0489808,12.6,OUT018,2,1,2,0.933419536339,1,3
1,NCM43,164.821,2120.573,0.019471688,14.5,OUT035,1,2,1,0.874563386142,2,6
0,FDK44,173.0738,3823.0236,0.122918852,16.6,OUT017,1,2,1,1.03340684639,1,2
2,FDM15,151.4366,1360.2294,0.057373797,11.8,OUT013,2,0,1,1.02692150743,1,1
2,FDS31,178.8318,3969.4996,0.044155597,13.1,OUT013,2,0,1,1.28356356251,1,1
0,FDI32,115.1834,345.5502,0.291865402,17.7,OUT010,2,2,0,1.77571890215,1,0
0,FDR47,196.5794,585.2382,0.0853547126,17.85,OUT010,2,2,0,1.0,1,0
2,FDB35,92.6804,1010.6844,0.064750025,12.3,OUT045,1,2,1,0.876502764255,1,7
1,NCU05,81.4618,161.1236,0.098312421,11.8,OUT010,2,2,0,1.55601440037,2,0
2,DRY23,42.1112,42.6112,0.191013663,9.395,OUT019,0,2,0,1.61481059182,0,4
0,FDO24,157.4604,3010.7476,0.176573035,11.1,OUT045,1,2,1,1.15445150562,1,7
2,FDQ28,153.0656,6024.1584,0.060134441,14.0,OUT027,2,1,3,0.954309087493,1,5
0,FDV39,198.1426,988.713,0.007294652,11.3,OUT045,1,2,1,1.12623279741,1,7
1,NCO17,117.944,239.688,0.128478462,10.0,OUT019,0,2,0,2.03082169559,2,4
2,FDU50,112.8176,1374.2112,0.075107656,5.75,OUT013,2,0,1,1.14135572598,1,1
2,FDT12,226.8062,4739.8302,0.049381406,6.215,OUT027,2,1,3,1.02792313235,1,5
2,FDK58,100.0016,1012.016,0.045165796,11.35,OUT018,2,1,2,1.1647421241,1,3
2,FDO08,165.7526,657.8104,0.09415375,11.1,OUT019,0,2,0,1.67900267198,1,4
1,NCW29,130.431,778.986,0.028907832,14.0,OUT049,0,1,1,0.876088778021,2,9
2,FDE04,179.766,2336.958,0.018059621,19.75,OUT045,1,2,1,1.03882028367,1,7
1,NCB19,85.0882,2233.0932,0.090436094,6.525,OUT049,0,1,1,0.923723835827,2,9
0,FDV15,103.9648,1661.8368,0.146399712,10.3,OUT049,0,1,1,0.923723831951,1,9
2,FDL58,264.7568,4745.8224,0.074264356,5.78,OUT049,0,1,1,0.960589580009,1,9
2,FDA08,164.1526,3124.5994,0.050186726,11.85,OUT045,1,2,1,1.02965610794,1,7
0,FDT43,50.1324,467.3916,0.020631654,16.35,OUT018,2,1,2,0.87829205566,1,3
1,NCX06,182.5976,5070.7328,0.01561108,17.6,OUT027,2,1,3,0.870492909581,2,5
0,FDT20,37.6164,540.6296,0.041395445,10.5,OUT046,0,2,1,0.92963259804,1,8
2,FDB41,48.0718,992.7078,0.097313129,19.0,OUT046,0,2,1,0.874728795714,1,8
1,NCN55,238.8538,6008.845,0.059582996,14.6,OUT049,0,1,1,1.03830698724,2,9
2,FDE40,62.9194,2105.2596,0.098663652,15.6,OUT027,2,1,3,1.02309403015,1,5
2,FDX49,232.63,5359.69,0.101338651,4.615,OUT027,2,1,3,0.994677826486,1,5
1,NCM53,104.628,745.696,0.052146456,18.75,OUT045,1,2,1,0.931517929902,2,7
2,FDE36,161.8868,3275.736,0.041764487,5.26,OUT035,1,2,1,0.957952469056,1,6
0,FDN57,140.2154,1701.7848,0.054344186,18.25,OUT045,1,2,1,0.924160348573,1,7
0,FDI24,177.937,6704.606,0.078362484,10.3,OUT027,2,1,3,0.917823683367,1,5
0,FDI19,242.7512,4119.9704,0.052339069,15.1,OUT046,0,2,1,1.04232594991,1,8
2,FDF24,81.5934,327.5736,0.042464962,15.5,OUT010,2,2,0,1.55601440688,1,0
0,FDG52,45.7402,780.9834,0.065732883,13.65,OUT049,0,1,1,1.00062304053,1,9
0,DRF36,189.3846,3630.6074,0.023625114,16.1,OUT045,1,2,1,0.931517935685,0,7
2,FDS45,107.3622,317.5866,0.051643608,5.175,OUT019,0,2,0,1.53153719367,1,4
0,FDX40,39.7164,231.6984,0.165694219,12.85,OUT010,2,2,0,1.60443464515,1,0
0,DRK12,32.99,133.16,0.041878397,9.5,OUT035,1,2,1,1.12374094203,0,6
0,DRC27,245.1802,5650.6446,0.058091482,13.8,OUT035,1,2,1,0.874563389808,0,6
2,FDL58,263.7568,2636.568,0.0773112238,5.78,OUT017,1,2,1,1.0,1,2
1,NCD30,96.0726,1272.3438,0.026903714,19.7,OUT045,1,2,1,1.03824114379,2,7
1,NCZ54,161.5552,324.9104,0.0813447597,14.65,OUT010,2,2,0,1.0,2,0
2,FDE10,130.0626,131.1626,0.150554711,6.67,OUT010,2,2,0,1.73556385622,1,0
2,FDR44,131.2968,260.9936,0.0915704155556,6.11,OUT010,2,2,0,1.0,1,0
2,FDP28,260.0936,260.9936,0.134975628,13.65,OUT010,2,2,0,1.55601439384,1,0
0,FDX15,160.6578,3690.5294,0.15616879,17.2,OUT013,2,0,1,0.998238350064,1,1
0,FDA39,40.2822,1139.1838,0.0110409995,6.32,OUT035,1,2,1,1.0,1,6
2,FDY24,52.9298,1995.4026,0.133700752,4.88,OUT049,0,1,1,1.06206302772,1,9
2,FDC60,88.3514,1416.8224,0.115119905,5.425,OUT017,1,2,1,0.879676611966,1,2
2,FDH28,37.2506,265.6542,0.110030997,15.85,OUT046,0,2,1,0.958133643491,1,8
0,FDT25,121.7072,3552.7088,0.051038045,7.5,OUT017,1,2,1,0.879676615594,1,2
0,DRJ13,161.5578,2406.867,0.062837968,12.65,OUT013,2,0,1,0.928858985482,0,1
1,NCO07,211.956,213.056,0.017116983,9.06,OUT019,0,2,0,1.6148106141,2,4
0,FDW20,124.173,2956.152,0.024129332,20.75,OUT013,2,0,1,1.03585505204,1,1
0,DRF27,152.134,153.134,0.049754975,8.93,OUT019,0,2,0,1.61481058588,0,4
0,FDS49,79.7644,1649.8524,0.0772164927778,9.0,OUT035,1,2,1,1.0,1,6
0,FDX25,181.9292,3101.2964,0.101561568,16.7,OUT027,2,1,3,1.32594678185,1,5
1,NCX42,165.6526,4769.1254,0.005949644,6.36,OUT027,2,1,3,0.917823706523,2,5
2,FDG33,170.4764,3435.528,0.13956116,5.365,OUT027,2,1,3,0.870492878995,1,5
0,FDL56,86.4198,1133.8574,0.126035694,14.1,OUT045,1,2,1,0.924160343299,1,7
0,FDF14,152.334,2603.278,0.027164679,7.55,OUT035,1,2,1,0.998880846779,1,6
1,NCD06,45.406,605.878,0.099325278,13.0,OUT046,0,2,1,0.922289912649,2,8
0,DRM47,192.8846,2293.0152,0.04357366,9.3,OUT027,2,1,3,0.925130818299,0,5
2,FDS46,118.7782,119.1782,0.082741482,17.6,OUT019,0,2,0,1.61481058939,1,4
2,FDB35,92.9804,1929.4884,0.064565202,12.3,OUT013,2,0,1,0.874000867609,1,1
0,FDX21,109.8912,2074.6328,0.084554569,7.05,OUT027,2,1,3,0.870492877258,1,5
1,NCU05,79.9618,241.6854,0.058451805,11.8,OUT027,2,1,3,0.925130816457,2,5
1,NCR38,251.3724,6795.1548,0.113748685,17.25,OUT045,1,2,1,0.924160348595,2,7
1,NCR18,42.7112,639.168,0.020603511,15.85,OUT017,1,2,1,1.00472087749,2,2
1,NCU41,192.1846,3248.4382,0.052044976,18.85,OUT035,1,2,1,0.929456822825,2,6
2,FDY56,227.6062,7222.5984,0.062764429,16.35,OUT017,1,2,1,0.879676618375,1,2
0,DRJ51,229.0668,3225.1352,0.087977262,14.1,OUT035,1,2,1,1.02758245121,0,6
0,FDK21,249.0408,3755.112,0.010010425,7.905,OUT035,1,2,1,0.92945677214,1,6
0,FDY25,179.3976,3440.8544,0.033946163,12.0,OUT013,2,0,1,1.1409453716,1,1
2,FDU44,163.4552,974.7312,0.058414678,12.15,OUT035,1,2,1,0.922115520816,1,6
0,FDL43,75.367,535.969,0.027106459,10.1,OUT049,0,1,1,0.923723829177,1,9
0,FDF05,262.491,5259.82,0.027022883,17.5,OUT017,1,2,1,0.927506768203,1,2
0,DRF15,152.034,306.268,0.058153409,18.35,OUT019,0,2,0,1.678213169,0,4
0,FDL20,112.3886,1779.0176,0.128937661,17.1,OUT018,2,1,2,1.03178033551,1,3
0,FDV32,61.451,759.012,0.088846306,7.785,OUT049,0,1,1,0.923723833095,1,9
2,FDJ34,125.9704,1877.556,0.09357779,11.8,OUT013,2,0,1,0.998238351188,1,1
2,FDG08,171.8764,3779.0808,0.165694678,13.15,OUT045,1,2,1,1.03034376809,1,7
0,FDQ04,41.5796,41.2796,0.148392623,6.4,OUT019,0,2,0,1.67867338101,1,4
0,FDW13,51.1324,259.662,0.098438394,8.5,OUT017,1,2,1,0.879676614091,1,2
1,NCI17,96.341,193.082,0.143303291,8.645,OUT013,2,0,1,1.02692150939,2,1
2,FDY03,110.9202,1687.803,0.076276208,17.6,OUT045,1,2,1,0.876502767631,1,7
0,FDS12,127.5362,4655.9394,0.175103435,9.1,OUT017,1,2,1,0.879676615035,1,2
2,FDJ55,225.9404,4950.8888,0.023511371,12.8,OUT013,2,0,1,0.928858968762,1,1
0,DRK01,95.4436,1418.154,0.06105276,7.63,OUT035,1,2,1,0.922115517188,0,6
2,FDG28,246.4144,1225.072,0.049559042,9.285,OUT017,1,2,1,1.13031101642,1,2
2,FDY38,231.03,5359.69,0.119418124,13.6,OUT045,1,2,1,0.924160347048,1,7
0,FDN01,176.237,1764.37,0.072545601,8.895,OUT045,1,2,1,1.06233645232,1,7
1,NCR54,195.211,2553.343,0.090486828,16.35,OUT013,2,0,1,1.02671704027,2,1
0,FDG29,43.3454,1006.6896,0.056245075,17.6,OUT013,2,0,1,0.9982383455,1,1
0,FDG24,85.225,1081.925,0.014618973,7.975,OUT013,2,0,1,0.998238338925,1,1
0,FDG59,36.7164,308.9312,0.043479126,15.85,OUT017,1,2,1,1.0333086662,1,2
0,FDM28,178.666,2516.724,0.045166237,15.7,OUT013,2,0,1,0.874000867696,1,1
2,FDW04,128.831,1428.141,0.057827101,8.985,OUT046,0,2,1,1.14085388158,1,8
0,FDS26,260.1594,2093.2752,0.089394766,20.35,OUT013,2,0,1,0.928858988135,1,1
0,FDQ56,85.6908,1929.4884,0.10550944,6.59,OUT013,2,0,1,0.928858985773,1,1
0,FDK51,264.0884,5829.7448,0.005234153,19.85,OUT035,1,2,1,1.03676396746,1,6
0,FDL22,91.4488,2082.6224,0.036390174,16.85,OUT046,0,2,1,0.922289909497,1,8
0,FDH19,173.1738,7298.4996,0.03292824,19.35,OUT027,2,1,3,0.917823698023,1,5
0,FDY55,256.4988,7452.9652,0.081252534,16.75,OUT013,2,0,1,1.49568770939,1,1
2,FDY03,110.5202,450.0808,0.076552407,17.6,OUT017,1,2,1,0.879676616912,1,2
0,FDK21,250.4408,500.6816,0.016758569,7.905,OUT010,2,2,0,1.55601439983,1,0
0,FDZ10,126.202,3668.558,0.044248175,17.85,OUT027,2,1,3,0.95412193298,1,5
