Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDJ08,4164.92351048,OUT027
NCC07,1622.47558978,OUT017
NCD19,1739.87795432,OUT027
FDL46,2033.85203372,OUT049
FDM20,3667.67818705,OUT045
NCI06,1243.98434269,OUT010
DRM11,3953.45191117,OUT035
NCH07,3040.23651381,OUT018
FDS23,1884.52531062,OUT013
FDO49,1348.03498307,OUT018
FDS35,1207.7134861,OUT049
DRK39,1143.07351086,OUT045
DRI39,1220.00092208,OUT049
FDV04,2295.00795215,OUT017
NCN14,2762.2829986,OUT035
FDH08,3527.66697359,OUT013
FDS20,2888.53256551,OUT046
FDV40,1223.82010638,OUT049
FDZ48,14.2311230892,OUT010
FDS24,2735.45979748,OUT027
FDK44,2773.07077,OUT049
FDS48,2331.14028916,OUT045
FDK26,1255.74874965,OUT010
FDD23,2931.38935012,OUT045
NCH54,2422.67511464,OUT017
NCP14,-27.8706947553,OUT010
FDM60,-1142.82387532,OUT010
FDV24,1900.2671971,OUT017
FDH08,4140.3288215,OUT018
FDS12,3256.72457236,OUT027
FDR39,3955.46281341,OUT027
FDP12,1913.16523204,OUT027
DRF60,4673.68164957,OUT027
FDC09,1729.38029536,OUT035
FDF50,3095.14855282,OUT018
FDG28,3569.78220486,OUT035
NCE19,831.467135042,OUT017
NCM53,61.5433228534,OUT010
NCN18,1893.59132037,OUT049
FDF32,2783.36830682,OUT035
FDF11,3515.30177112,OUT013
DRI59,3484.98971979,OUT049
NCG54,2536.39493167,OUT035
FDM44,1840.15282787,OUT046
FDT57,4180.45276789,OUT018
FDV24,2186.12517108,OUT046
FDI50,1891.73463726,OUT019
FDS09,932.518681711,OUT035
NCC31,3669.38122178,OUT027
FDQ07,1896.96826487,OUT019
FDC22,2771.91774496,OUT017
FDZ56,2844.997009,OUT046
FDZ40,-432.718769086,OUT019
FDS46,3203.68271753,OUT027
DRD24,2353.09309477,OUT045
FDV45,2782.99123582,OUT017
FDL26,2328.95616118,OUT045
FDA56,2520.48041045,OUT018
FDN27,1746.96966444,OUT046
FDM20,3844.22196786,OUT049
FDO16,1233.6346248,OUT017
FDL03,2966.1285283,OUT035
FDE58,1526.47153019,OUT046
FDI02,2977.33185853,OUT027
NCC55,-1261.56067924,OUT019
FDR03,3545.44280238,OUT018
FDB14,1236.3002514,OUT017
FDR45,3476.93665356,OUT013
NCN07,1969.26593772,OUT017
FDM51,47.1620898471,OUT019
FDT52,5077.30949351,OUT027
FDL26,2400.94857389,OUT046
NCZ42,3711.93898346,OUT046
DRI47,970.270264042,OUT019
FDW40,2087.27036073,OUT013
FDN34,2740.96028377,OUT046
FDS01,2761.67961406,OUT035
NCG55,1646.17439009,OUT045
FDC11,1275.88870717,OUT035
FDX35,4015.45088384,OUT018
NCB06,2604.97700019,OUT046
FDR09,2554.77353469,OUT019
FDC53,1507.9788125,OUT017
FDY45,3729.27093568,OUT013
FDA22,717.388817828,OUT010
FDE02,1460.71965941,OUT035
FDW21,1525.7594923,OUT045
FDV34,1433.54810151,OUT046
FDS59,2095.68453902,OUT049
NCW17,1904.25970566,OUT017
NCK54,1009.32063522,OUT046
FDG17,2340.43986676,OUT019
FDG35,2539.40005328,OUT017
FDD08,-842.471096218,OUT010
NCO07,3136.27392364,OUT017
FDJ10,638.160551564,OUT010
FDW36,1521.3216721,OUT017
FDW21,716.275483553,OUT010
FDY19,1725.17161552,OUT017
DRE03,762.429164691,OUT013
NCC55,654.15378502,OUT049
FDH52,-583.166152578,OUT010
FDO09,3765.28366654,OUT017
FDU43,3636.56403474,OUT045
FDX09,1146.40738444,OUT010
FDH40,-1.41442185589,OUT019
FDW58,1435.60127215,OUT017
FDC47,3347.68135058,OUT017
NCR41,1305.15364541,OUT035
DRG49,3832.77827516,OUT035
FDC52,3616.38774496,OUT027
FDY13,1390.23086422,OUT046
FDY35,811.131209526,OUT013
FDI35,2589.70535796,OUT017
NCU18,2509.70563838,OUT049
FDY33,2914.67802512,OUT018
FDC15,3626.7381588,OUT027
FDU01,3117.38215529,OUT049
NCU42,2711.91373756,OUT046
NCV29,3279.2880015,OUT018
NCY30,2699.79532447,OUT017
FDQ46,1906.4665441,OUT049
FDG58,3571.73621704,OUT027
FDK33,3217.92668123,OUT017
NCD07,1411.50015861,OUT045
NCX29,3563.05912624,OUT027
NCT42,2244.03034402,OUT013
DRN59,587.823834817,OUT035
FDI44,1185.28251635,OUT035
FDA45,2670.60183209,OUT049
FDP31,1026.78459153,OUT045
FDY01,1851.11652353,OUT046
FDT09,2676.67992138,OUT018
DRH03,2745.96179225,OUT027
FDA36,3473.27451956,OUT018
NCF31,2252.47516025,OUT017
FDG14,2573.99003187,OUT049
FDG28,4854.61615025,OUT027
FDU14,3944.60847323,OUT049
FDY47,571.781576375,OUT019
FDI56,1736.19483687,OUT049
DRD01,938.855727864,OUT013
FDM22,1050.2277697,OUT046
FDH33,484.420017806,OUT013
DRZ24,1487.96964788,OUT013
NCQ38,1849.95597443,OUT046
FDO16,2667.85250307,OUT027
FDU07,3603.06843784,OUT027
NCB07,2870.35833819,OUT013
FDU48,2178.31104698,OUT045
NCM43,2692.09336748,OUT045
FDR31,766.851423629,OUT010
DRK49,1196.59715368,OUT018
NCI30,2173.67569454,OUT010
DRD60,2699.61120296,OUT017
NCG19,3582.70364333,OUT046
FDH12,1727.32606157,OUT035
FDM32,1283.95220312,OUT035
FDM27,2301.86072806,OUT035
NCU53,3767.56082251,OUT027
NCQ18,1663.5960827,OUT046
FDS10,2553.20485322,OUT013
FDB33,3820.10242954,OUT027
FDI12,1230.19931897,OUT013
NCW42,3249.43510577,OUT013
NCC06,2644.10831673,OUT018
FDW02,1791.13897454,OUT017
NCD43,1511.91156575,OUT017
FDM57,1938.14157877,OUT018
FDA58,3195.53734448,OUT017
FDK56,2700.44769222,OUT046
FDP52,3547.03237288,OUT045
FDW20,2391.94794043,OUT018
FDS52,1946.93844248,OUT049
NCT29,2445.93945649,OUT018
NCL54,2144.04168174,OUT013
FDC05,3123.79473615,OUT045
FDF34,3123.00811158,OUT035
FDP03,3249.12354221,OUT027
FDD32,-286.927775606,OUT010
FDZ10,1975.45560986,OUT045
FDZ40,1008.81402228,OUT035
FDD51,1022.22206143,OUT018
NCY30,1335.70558892,OUT019
FDP58,3023.88451419,OUT017
FDV49,3911.51900967,OUT017
FDY24,-893.47257224,OUT019
NCO55,1593.86109067,OUT017
FDR13,1835.0627614,OUT017
FDS51,828.527196521,OUT017
FDP26,1391.57774193,OUT045
NCB54,3313.80362682,OUT027
FDF32,2595.53318941,OUT017
FDN31,3448.27110954,OUT018
DRM48,493.486909637,OUT017
FDN20,2752.3845974,OUT049
DRL01,3681.51054325,OUT046
FDV56,2025.82016554,OUT049
DRH13,3046.09513316,OUT027
FDA03,2057.76902481,OUT017
FDF47,4583.71249802,OUT027
FDX32,2333.01463134,OUT046
FDX57,1718.60145496,OUT049
NCA30,2798.44066176,OUT045
FDO49,705.280403427,OUT013
FDL04,129.934303103,OUT019
DRM48,668.070359157,OUT035
FDR16,3057.41484814,OUT013
NCC19,3403.42102688,OUT018
NCE42,3546.55010091,OUT045
FDY24,635.525821608,OUT017
FDH19,2973.82622605,OUT049
FDJ46,2346.67623566,OUT013
FDN45,1701.56561254,OUT010
FDY08,2232.19788805,OUT035
FDZ37,1249.13167317,OUT035
NCT30,912.289548439,OUT045
DRY23,1336.82610538,OUT018
NCZ30,2453.2597085,OUT018
FDC44,2129.42400987,OUT018
FDB45,1705.949742,OUT035
FDY04,2497.17079703,OUT013
FDM27,2506.91680714,OUT046
FDZ43,3509.96061578,OUT017
FDT39,1088.7532721,OUT019
NCC06,650.178026172,OUT019
FDL15,3726.58609204,OUT027
FDL57,3829.00454462,OUT017
FDU08,1661.7220361,OUT046
FDK40,3494.97763259,OUT017
FDQ12,1978.8674704,OUT010
FDS48,2076.03133837,OUT017
FDP09,3374.24725186,OUT045
FDW21,1693.46636537,OUT049
FDY25,2579.54690805,OUT035
DRE13,1355.28812766,OUT017
FDV43,-745.549254147,OUT019
FDD22,1787.63292965,OUT045
FDM46,-12.1112962084,OUT019
NCO30,1182.92669128,OUT010
FDM25,2843.38965931,OUT046
NCN41,2236.79524072,OUT049
FDU24,1273.87823474,OUT045
FDZ50,2976.76841392,OUT046
FDP45,3810.35358131,OUT013
NCM54,1995.26321746,OUT045
FDW10,940.93855864,OUT019
FDP20,1787.28800399,OUT017
FDK32,2429.02258088,OUT046
FDN52,1655.3780489,OUT049
FDM58,1775.28324598,OUT045
FDZ46,2943.67027303,OUT027
NCA18,2395.68565809,OUT018
FDD35,1839.58557306,OUT046
NCK31,945.742261545,OUT035
FDI40,2887.25576563,OUT027
FDT50,11.6990121945,OUT019
NCT06,2588.94056327,OUT046
FDT31,2997.23381728,OUT035
FDT45,1019.70070709,OUT049
FDT13,2847.27162545,OUT045
FDO50,1225.66751997,OUT045
NCU18,646.552939143,OUT010
NCR54,3100.12794741,OUT049
NCO18,3382.61057328,OUT018
FDU09,1055.06330472,OUT045
FDT13,3352.10400879,OUT018
FDE09,1912.85798336,OUT046
NCK53,95.2789399315,OUT019
FDG45,3406.87155351,OUT049
DRH15,676.636756977,OUT035
FDO21,2072.26549716,OUT019
FDD14,4087.97276152,OUT027
FDC09,1858.33187167,OUT046
FDH45,2053.87416396,OUT027
FDV32,1209.75068533,OUT046
FDG12,1575.24891482,OUT035
FDS32,2124.44144667,OUT013
NCL55,4101.71864862,OUT018
DRE01,3677.7821741,OUT035
DRE15,1403.61180246,OUT049
NCL42,3739.70594563,OUT045
FDP31,855.042593147,OUT013
FDN33,1974.27886974,OUT018
FDZ59,2779.10608449,OUT046
FDE45,1061.84588296,OUT010
FDJ07,1679.8657326,OUT013
FDQ45,3232.18685103,OUT018
FDM33,4491.85415965,OUT027
FDO15,-204.857777811,OUT010
FDM46,1377.19877778,OUT013
FDR03,3045.30004886,OUT045
FDY49,3213.31569608,OUT018
FDQ60,1947.0423716,OUT045
FDW10,2870.32214045,OUT049
FDO51,962.823037292,OUT049
FDJ40,2248.58519278,OUT018
FDS20,3281.62480137,OUT018
FDU45,1808.47907139,OUT013
FDV02,2548.46201031,OUT035
FDN09,3730.43980562,OUT046
NCM55,4137.34379193,OUT027
FDN23,2763.62241571,OUT018
FDY31,733.409387607,OUT010
FDW03,238.103629212,OUT010
FDD14,2944.81709081,OUT046
FDV23,1686.7576681,OUT017
DRI03,2669.24243007,OUT045
FDN13,1533.80035949,OUT035
FDF45,2275.82789685,OUT027
FDU46,1509.60178327,OUT035
FDB57,3727.72112015,OUT049
FDV12,1797.31478391,OUT049
FDQ58,1878.46142085,OUT013
NCA18,1687.17457044,OUT017
FDH52,1249.12262719,OUT049
FDM24,2798.52232613,OUT018
NCP43,4089.03863227,OUT027
NCO18,1391.43020807,OUT019
FDM32,1118.79519046,OUT017
NCL07,437.677325345,OUT017
FDK03,3798.40424749,OUT013
FDP59,1595.12503491,OUT017
FDQ24,3970.95194741,OUT049
FDQ16,2299.3076509,OUT018
FDU44,2451.26732148,OUT013
FDH28,-1035.76465146,OUT010
FDV28,-1183.2521911,OUT019
FDM22,990.439244857,OUT045
FDR56,3173.77634552,OUT046
FDV39,3081.55180427,OUT049
FDU37,-378.980450198,OUT019
FDQ11,2967.44730429,OUT010
FDX02,3385.74377132,OUT045
NCS42,2033.04388038,OUT018
FDY57,2710.44375767,OUT027
FDB21,3757.41319033,OUT049
FDE28,3216.6924704,OUT017
FDQ55,1650.81823074,OUT017
FDA48,3526.53135713,OUT049
FDZ19,2719.17668482,OUT045
NCC43,3756.18442505,OUT045
NCV18,1445.00021215,OUT046
NCA42,2757.50093748,OUT018
FDY45,3787.60644428,OUT046
NCC30,2824.12240121,OUT045
FDM57,1327.43364144,OUT013
FDL09,992.255099872,OUT010
FDB09,3308.2404492,OUT027
FDT44,1770.88720745,OUT035
NCT06,3713.28819594,OUT027
FDX26,3009.24012074,OUT049
FDK32,2217.69600568,OUT013
DRA12,2133.45979285,OUT046
FDO46,1136.86757338,OUT010
FDE52,1127.93273459,OUT013
NCH42,3645.64989717,OUT045
FDV08,369.520603573,OUT035
FDB47,3768.71474514,OUT018
FDC28,-327.24969556,OUT010
FDD22,1911.10059454,OUT046
FDS07,2820.73460623,OUT027
DRI13,3343.95046872,OUT045
FDG32,3875.18979953,OUT018
FDU14,3559.74532955,OUT017
FDD28,-954.202671846,OUT019
NCP41,1681.25840149,OUT017
FDS08,3013.50882004,OUT049
FDX47,2628.01722694,OUT045
FDC53,294.324283633,OUT019
FDQ19,3660.24749555,OUT035
FDL14,2589.92360326,OUT045
FDM33,1663.6518018,OUT019
FDA51,1734.93923532,OUT045
FDZ27,1192.30699472,OUT018
FDT04,586.518101592,OUT046
DRC13,2059.76078575,OUT049
FDR16,4465.67491611,OUT027
FDQ03,4765.48171164,OUT027
FDE38,2630.91438031,OUT035
DRH23,2145.8938752,OUT027
FDT11,1610.69852935,OUT019
FDD09,2687.88404789,OUT035
FDR40,1388.21533487,OUT045
FDX07,2346.435663,OUT017
FDR07,1606.50927553,OUT035
FDA51,1557.43202724,OUT017
FDT59,2030.35765265,OUT019
FDF20,2936.58990785,OUT017
FDR13,1999.87785912,OUT045
FDY26,3531.02390171,OUT049
FDW04,1701.58787546,OUT017
FDK52,3155.2097706,OUT017
FDN60,2660.77255333,OUT049
FDM09,1285.77682386,OUT019
FDP46,1378.77270974,OUT049
FDB50,-302.862013964,OUT019
NCQ29,4112.65486396,OUT049
FDP16,5024.49375527,OUT027
FDX33,2974.9980622,OUT018
FDP07,1995.62060668,OUT010
FDN22,3715.21951579,OUT046
FDF39,4224.21633535,OUT049
FDS21,1008.39668082,OUT017
NCM42,1625.29283454,OUT013
FDK50,892.210284876,OUT019
DRF13,3498.39232377,OUT027
FDH35,2957.22565023,OUT018
FDP60,1669.58803558,OUT018
DRJ49,3135.19707334,OUT027
NCT42,884.843410972,OUT019
FDE38,2858.74374026,OUT049
FDI04,3396.6727974,OUT049
NCH54,2560.97524483,OUT045
FDT56,1300.67693292,OUT049
DRD15,4190.29174843,OUT018
FDV58,2751.40998991,OUT013
FDP21,3264.59005688,OUT049
FDH05,3483.06423671,OUT013
FDR10,3808.53591393,OUT027
NCP06,2378.78681735,OUT045
FDF33,1839.59569533,OUT049
DRK37,2769.34321102,OUT013
DRH49,1380.7652577,OUT045
FDT58,2474.21947944,OUT013
FDD41,2159.55835499,OUT018
FDP40,2377.27365048,OUT018
FDM51,2859.0747512,OUT027
FDO45,-186.218104148,OUT010
FDW33,-12.4723640433,OUT010
FDY24,893.761847847,OUT045
FDB10,1744.06328507,OUT010
FDM40,2027.19973468,OUT035
NCI06,2714.58374419,OUT017
FDW12,778.989902865,OUT019
FDX48,3803.56810112,OUT027
NCW05,2899.75181314,OUT027
FDX27,1260.67195319,OUT017
DRM37,3058.96572229,OUT045
FDA38,3824.83400278,OUT045
FDR36,860.149891853,OUT046
FDZ45,3155.63716387,OUT046
FDG05,2099.84452248,OUT017
FDK28,3836.27913615,OUT013
FDV47,1319.38754069,OUT045
FDN21,2409.40809013,OUT045
FDP20,3194.51950678,OUT027
FDI35,2781.6529643,OUT045
DRY23,711.469978057,OUT013
FDA56,1825.31455501,OUT017
FDB09,1912.71539078,OUT013
NCO26,3111.4325499,OUT027
FDQ49,3003.79512133,OUT018
FDI52,3081.58960079,OUT027
FDZ44,3205.72425847,OUT027
FDZ09,3055.10505244,OUT018
FDY03,2128.81641682,OUT049
NCG42,1774.65693769,OUT017
DRI13,4585.67673545,OUT027
FDQ32,1939.07217949,OUT013
FDW16,1597.96564933,OUT035
FDU27,795.685586644,OUT046
FDR28,956.800540997,OUT010
FDQ49,811.556001003,OUT010
FDS37,1997.42713397,OUT046
FDW26,4000.30764599,OUT018
FDX12,4017.78535411,OUT018
NCP06,2250.86322926,OUT013
FDW45,627.066846117,OUT010
NCN30,1781.43298943,OUT049
FDN24,1111.42998642,OUT049
NCL41,1893.76087183,OUT027
FDR02,405.825714514,OUT019
FDD09,972.292075744,OUT010
FDS33,426.496868828,OUT010
FDU22,1794.16981921,OUT045
FDI53,2296.240043,OUT013
DRH01,2960.28715803,OUT049
FDX32,2040.49220245,OUT013
NCP30,1183.41867739,OUT018
FDB60,3146.10867682,OUT045
FDB14,1634.6373295,OUT049
NCP02,1062.09520063,OUT035
FDJ10,2114.69146328,OUT017
FDG34,1879.32426841,OUT046
NCB18,1340.31509219,OUT017
FDM16,1448.86349041,OUT049
FDW25,1927.3948165,OUT018
FDB35,-40.4292432473,OUT010
DRN11,2008.88971816,OUT013
FDF41,2318.37910289,OUT019
FDH16,1473.6751508,OUT045
NCQ50,3569.9572978,OUT018
DRH23,1420.30829092,OUT018
DRJ37,2209.65485408,OUT013
DRJ24,4171.3910092,OUT027
FDY16,2596.59796496,OUT035
FDQ27,1673.81873978,OUT045
FDZ33,2216.58184104,OUT045
FDF29,2183.11946916,OUT045
FDA08,2714.64520643,OUT049
FDG31,1155.50329768,OUT046
FDE34,2064.03488283,OUT019
NCR30,2430.33844976,OUT027
FDV33,3938.91533567,OUT035
DRZ24,2388.10095291,OUT018
NCL54,2209.96171325,OUT035
FDR12,3047.11865298,OUT049
NCC54,3860.64442166,OUT046
DRN59,643.16249756,OUT013
FDX50,348.735461309,OUT019
FDV31,3870.0829761,OUT027
NCA29,3931.04381681,OUT027
FDW60,2977.84104278,OUT049
FDX08,2757.65255645,OUT017
DRD49,3381.01766053,OUT013
FDD33,3360.17735812,OUT046
FDW35,686.818967777,OUT013
FDJ36,1493.01449659,OUT017
FDV51,2604.20455701,OUT035
FDW36,1842.28499625,OUT046
FDH35,2571.71327977,OUT046
NCS30,3178.43864626,OUT027
FDN49,538.225321165,OUT017
FDL08,4060.63142544,OUT018
FDI09,3314.84886676,OUT013
FDP19,2213.83020221,OUT018
FDU21,-914.709854528,OUT010
NCP41,1844.5635975,OUT045
FDY10,1693.7511611,OUT013
FDP12,1183.55037983,OUT018
NCN26,1817.14020475,OUT049
FDK44,2433.64583665,OUT013
FDC28,1720.51971528,OUT049
FDJ41,5370.860026,OUT027
NCT29,1966.35672495,OUT035
NCH42,2147.2398605,OUT019
FDU60,3053.91441101,OUT018
FDS02,2742.50200625,OUT045
FDC51,2042.94243329,OUT046
FDU03,2615.72295304,OUT013
FDX39,3349.57848851,OUT045
NCY05,-980.344639378,OUT010
NCL06,5216.03680109,OUT027
FDD32,1290.89803706,OUT035
NCN41,2041.15012354,OUT045
NCX53,2351.02669573,OUT049
FDU57,972.791397034,OUT019
FDQ23,1833.07724718,OUT046
FDQ52,3796.01073157,OUT045
FDC14,787.614318434,OUT045
FDY09,2730.49348152,OUT035
FDQ28,2491.64170263,OUT045
FDV25,3424.81804289,OUT046
FDJ07,1759.32681099,OUT035
DRB25,2010.20253722,OUT049
FDK52,1670.75949899,OUT019
FDY52,2214.76569032,OUT027
FDB28,3159.63587257,OUT046
FDT36,370.149644032,OUT035
FDV25,3154.90112126,OUT017
NCN07,3391.15234451,OUT027
FDC57,2941.06365742,OUT017
FDQ03,4045.36293622,OUT018
FDU23,2345.53218162,OUT017
NCX41,3184.38166412,OUT035
NCD06,796.231229552,OUT035
FDW08,1431.34976273,OUT045
NCU29,2204.75163536,OUT017
NCE06,2436.86751161,OUT013
FDV52,117.193417613,OUT010
FDB02,2577.11794795,OUT017
NCR18,742.679661586,OUT045
FDK16,1638.10732025,OUT049
NCQ29,2167.9999887,OUT010
FDZ01,414.332839577,OUT019
FDW27,2324.72638548,OUT035
FDD17,4166.75434178,OUT018
FDW39,2284.34332534,OUT013
DRH59,1144.39758182,OUT045
FDS52,1624.61188938,OUT013
FDU40,4346.82922544,OUT027
NCF54,2647.94751994,OUT013
FDH46,1751.99445976,OUT045
NCP14,1852.70808829,OUT049
FDH50,3005.46768546,OUT049
DRF15,729.101237472,OUT010
FDV27,2842.67776657,OUT027
NCJ06,2207.81584251,OUT049
FDN02,3685.18091733,OUT018
FDQ51,838.17542664,OUT049
FDQ07,3300.40101513,OUT017
FDS45,2053.50059271,OUT049
NCJ06,2028.42077582,OUT045
FDD36,1888.28490759,OUT035
FDY25,2636.27033258,OUT045
FDU52,2438.17103698,OUT046
DRK47,3354.42204913,OUT017
NCL30,1791.36008499,OUT017
FDN22,3596.6680043,OUT035
NCF30,3263.16166303,OUT027
FDK03,3954.70634722,OUT035
FDT45,662.83057074,OUT017
NCC54,4957.7666511,OUT027
FDP08,3565.67371006,OUT018
FDU44,2730.62230259,OUT046
DRG39,869.737091178,OUT035
FDU32,1943.07156495,OUT049
FDY27,2943.68797304,OUT049
NCP54,1769.14854564,OUT013
NCZ41,1971.35553028,OUT049
DRL49,2229.85090706,OUT013
FDI05,1806.08726491,OUT018
FDY56,3619.88717039,OUT045
DRC13,1721.96965127,OUT013
NCV29,2616.54127748,OUT017
FDR24,1727.53681574,OUT049
FDZ34,3237.81008823,OUT018
FDP37,1998.03560104,OUT035
FDX08,4151.39422401,OUT027
FDS57,2106.25279819,OUT045
NCG18,1861.01393024,OUT049
FDK25,3148.15143836,OUT018
FDH53,1351.0917013,OUT049
DRI59,3756.80992832,OUT018
FDA52,2841.24256604,OUT046
FDT20,-949.949339264,OUT010
FDE36,1055.90889953,OUT019
FDI24,2549.53540997,OUT017
FDB28,3585.42340177,OUT018
FDV11,2493.60023741,OUT017
FDP01,2578.81034972,OUT046
FDD34,3733.68549261,OUT027
FDJ50,2189.60910778,OUT027
FDZ44,1850.07231513,OUT013
DRO59,1290.38201951,OUT035
DRB48,722.64732327,OUT045
FDR21,3306.56548386,OUT018
NCE42,1772.93057924,OUT010
FDO23,1459.11444263,OUT046
NCE30,3653.48417225,OUT018
FDQ22,625.680877583,OUT035
FDY01,1759.87053128,OUT045
FDS08,2669.21614184,OUT017
FDG28,4144.37057802,OUT018
FDQ51,1174.92403072,OUT018
FDB05,3653.33627591,OUT017
FDO56,2207.52213256,OUT049
FDE02,1899.72892642,OUT018
FDN45,3222.04721277,OUT017
FDS09,788.028328378,OUT013
NCA54,3355.03616618,OUT018
FDP09,1735.22739242,OUT010
FDC53,1730.33355009,OUT045
NCM55,2718.97428562,OUT017
FDL09,3220.86635391,OUT018
FDA11,66.9514880627,OUT019
FDA50,1601.66765828,OUT045
FDC23,2562.99394863,OUT017
FDE22,2792.53494719,OUT049
FDD23,3000.30440059,OUT046
NCA29,2898.57343928,OUT049
FDK38,2320.53960749,OUT046
DRC13,1914.00360332,OUT046
NCP43,3028.76334537,OUT049
FDX28,1380.64819667,OUT049
FDF08,1698.96258821,OUT049
FDZ33,2324.03856935,OUT046
FDD10,2930.03828176,OUT049
FDO58,2390.81774436,OUT017
FDI50,3333.82139451,OUT017
FDO58,2631.17285482,OUT045
